,cases,R_mean,R_var,Q0.025,Q0.5,Q0.975
2020-11-24,270.0,1.0583992977677554,0.0009295947485959645,0.9996076836230361,1.0581078536057973,1.1189370713010764
2020-11-25,312.0,1.0186189877221539,0.000872614329707853,0.9615658680762355,1.0183351467002018,1.0772425880676
2020-11-26,318.0,0.9882432499735379,0.0008328387039539233,0.932862637991311,0.9879667800494736,1.045541938808976
2020-11-27,538.0,0.9705529430187878,0.0008102523381062078,0.9156106250147333,0.9702704922677798,1.0270998218586338
2020-11-28,395.0,0.9613713690980986,0.0008024062658467685,0.9065617735852689,0.9610909951728255,1.0176088062586301
2020-11-29,595.0,0.9571602302359965,0.0008054856257484926,0.9022799302629791,0.9568819157964011,1.0134704393353169
2020-11-30,420.0,0.9520191677497305,0.0008099644404930015,0.8968969454876476,0.9517249927435119,1.0091927879461913
2020-12-01,289.0,0.9445027465077505,0.0008145255033554881,0.8893785070469332,0.9442175214108784,1.0012734113272665
2020-12-02,360.0,0.9377786602820681,0.0008192337299329967,0.8826591827373176,0.9374890237354816,0.995118387697468
2020-12-03,300.0,0.9393317193858864,0.0008301293505083268,0.8831854667347023,0.9390302824861683,0.9966991869405548
2020-12-04,232.0,0.9518825394904203,0.0008526808251152322,0.8954717639597052,0.9515836137680487,1.0099920650423226
2020-12-05,441.0,0.9749891601673355,0.0008880396795210728,0.9175327181015499,0.9746881378908705,1.0343456419484758
2020-12-06,481.0,1.007554987395888,0.0009308289437931158,0.9485710262773347,1.007242751346709,1.0686510048669082
2020-12-07,384.0,1.0410667555006714,0.0009709277669081578,0.9810496990181528,1.0407576420987434,1.1028135344178902
2020-12-08,322.0,1.071975507812239,0.0010037143320868666,1.0105023484850542,1.0716593077228254,1.1350080601126327
2020-12-09,353.0,1.099408288835202,0.0010200812189297443,1.0379552442033098,1.0991012035953187,1.1632006396630472
2020-12-10,334.0,1.1200546845913792,0.0010206099184057464,1.0584582635920499,1.1197484339061996,1.183469471070084
2020-12-11,307.0,1.1305574244602552,0.0010086588470614487,1.0694227690107925,1.1302608140413735,1.1940828811970765
2020-12-12,352.0,1.13428681682576,0.000986615338355308,1.0738313306195524,1.133999302736186,1.1964331787362141
2020-12-13,372.0,1.1297908191153692,0.0009494574809991004,1.0700969681605037,1.1295104975357457,1.1906751254146637
2020-12-14,525.0,1.1164741788926271,0.0009084163604231239,1.058191856493151,1.1162022302670647,1.1761329162257468
2020-12-15,275.0,1.0926929760494748,0.0008620078749155867,1.036023424359296,1.0924325417576366,1.1509207003999018
2020-12-16,289.0,1.0583184697562662,0.0008115200843784012,1.0028543464235866,1.0580631131026164,1.1148480946524804
2020-12-17,372.0,1.0135205333678954,0.0007601809741810215,0.9600142083056402,1.0132688013287807,1.0682735110537405
2020-12-18,686.0,0.9623956831729741,0.0007114763870774949,0.910440580061541,0.9621441959081792,1.0156376447965823
2020-12-19,441.0,0.9106638789275686,0.0006711074236514214,0.860799286831246,0.910416857464414,0.9625031248494412
2020-12-20,479.0,0.8669135994788362,0.0006428810362504231,0.8173242444234781,0.866657164000953,0.9179997916215994
2020-12-21,601.0,0.8328917423929662,0.0006298933829303527,0.7842070599274491,0.8326423326507937,0.8826661426425171
2020-12-22,333.0,0.8099089080054056,0.00063197146374254,0.7613907470487438,0.8096489311034039,0.8597903272063954
2020-12-23,434.0,0.7943229145112485,0.0006459775623256826,0.7449030660078065,0.7940487540652668,0.8450079520756035
2020-12-24,495.0,0.7866208097028673,0.0006728204287722356,0.7362186717260317,0.786336141002004,0.8382082029540356
2020-12-25,524.0,0.7850049465483361,0.0007108528603898828,0.7333396906783712,0.7846999972271986,0.838029773666638
2020-12-26,373.0,0.7896932750673624,0.0007608930725915982,0.7369175892893342,0.7893743668993203,0.8445489224966206
2020-12-27,230.0,0.8076161652350854,0.0008265179046945609,0.7518553072260955,0.8072751301439389,0.8651378283600113
2020-12-28,188.0,0.8421207914316493,0.0009150150060372857,0.7837247124790551,0.8417578079630161,0.9023439690079524
2020-12-29,216.0,0.8991541658367141,0.0010358670135542265,0.8371329789510372,0.8987687206022349,0.9634423012335007
2020-12-30,299.0,0.9834686174105465,0.001183194900127208,0.9172555104514059,0.9830658542957755,1.0517795635326528
2020-12-31,554.0,1.082713672810212,0.0013407075533328871,1.0121227558667745,1.0822944856453227,1.1560057239930348
2021-01-01,400.0,1.1814441970603462,0.0014727375951489362,1.1071416896424893,1.1810166960737956,1.2583556906089584
2021-01-02,156.0,1.2527333575499167,0.001548008786041413,1.1769561415353689,1.252328191313072,1.3310136383054814
2021-01-03,208.0,1.2869803787637184,0.0015245663254201997,1.2120263748389675,1.2865958139672364,1.364372740253784
2021-01-04,278.0,1.2833920658983635,0.0014386107282878457,1.2103135613177907,1.2830191268255842,1.3585320070452798
2021-01-05,172.0,1.2629450081051803,0.0013292039350477308,1.191940751237738,1.2625929662422664,1.335332360829146
2021-01-06,269.0,1.2406723024743243,0.0012251792206649187,1.172974535104994,1.2403428911189427,1.3102482808776472
2021-01-07,401.0,1.2209493497768302,0.0011326113007931846,1.1557139972571182,1.2206402143485635,1.2876586495437845
2021-01-08,444.0,1.1942352587908927,0.0010547477908088914,1.1314012080879383,1.1939424442457591,1.2586809994460033
2021-01-09,418.0,1.159484342021714,0.0009749789675205563,1.0991179077696476,1.1592035728379897,1.221467829912215
2021-01-10,492.0,1.1141697121218228,0.0008956291659020217,1.056528666231242,1.1139019678606528,1.1734178636907733
2021-01-11,484.0,1.0640324774454675,0.0008216285355206786,1.0084168831378189,1.0637735362677656,1.1209234565812285
2021-01-12,371.0,1.0147143459542116,0.0007622738198908112,0.9612127562385354,1.0144612598644955,1.06955819714244
2021-01-13,334.0,0.9743153924252245,0.0007196863027004417,0.9222769047386354,0.9740676250532879,1.0277619080982916
2021-01-14,448.0,0.9449400358073352,0.0006920327161663863,0.8941007338260877,0.9446961556720388,0.9968766296516713
2021-01-15,396.0,0.9236618765063271,0.0006796843718725251,0.8734204226568343,0.9234186360767584,0.9755359915528582
2021-01-16,460.0,0.9081915311178256,0.0006790425895689058,0.8576679780231,0.9079446333097319,0.9596611563553277
2021-01-17,488.0,0.8970018995592239,0.0006847830808082445,0.8465180241219172,0.8967526705056355,0.9486203778763505
2021-01-18,421.0,0.8906890035657338,0.0006944409034097314,0.8394712497918568,0.8904253290686677,0.9434817249947305
2021-01-19,298.0,0.8903147407166947,0.0007103773288879303,0.838721824289309,0.8900453438089461,0.9436520654543963
2021-01-20,309.0,0.8962686811795947,0.000734745664816758,0.8435339144222278,0.8959900821187218,0.9505080732662148
2021-01-21,453.0,0.9086252156794624,0.0007685904276356777,0.8549975761231323,0.9083422296377901,0.9634805068519368
2021-01-22,604.0,0.9247111420327578,0.0008049389948058455,0.8698507319252409,0.9244214053785673,0.9811223737194379
2021-01-23,382.0,0.9411900018605179,0.0008405309836374115,0.8852929684113087,0.9408921808900618,0.9987730021709595
2021-01-24,426.0,0.9519321932134492,0.0008691454857691543,0.8949003984527167,0.9516273463728928,1.0100866862888482
2021-01-25,334.0,0.9587831106091009,0.000890559326157178,0.9011231029037198,0.9584632751507884,1.0185784873914798
2021-01-26,178.0,0.9647072996558324,0.0009068994208701114,0.906879380934034,0.9644006805274734,1.0239606346989212
2021-01-27,410.0,0.9700128936251754,0.0009237817875050634,0.9112635418899182,0.9696832555213512,1.0312912785462023
2021-01-28,288.0,0.9867582371744636,0.0009441152189575675,0.9276519161295518,0.986442756605135,1.047647079612236
2021-01-29,359.0,1.0082351672729817,0.0009702678745183321,0.9479852842947565,1.0079133626518064,1.0701522718236356
2021-01-30,483.0,1.0300827866667133,0.0009972587772387397,0.9688886562840358,1.029760127748608,1.0929922945925459
2021-01-31,418.0,1.045068339377142,0.001013132731912525,0.9838129140474507,1.044745688897617,1.1083949624316292
2021-02-01,400.0,1.04946612979225,0.0010143699505654191,0.9884936598325345,1.0491518037292424,1.1123711338109596
2021-02-02,269.0,1.0488549291053229,0.0010031276761809844,0.9874127698629025,1.0485332034419104,1.1120739294025979
2021-02-03,369.0,1.0464205869158452,0.0009915219112795045,0.9852658470842417,1.0460994363449085,1.1093201235774472
2021-02-04,231.0,1.0480051384974176,0.0009795793616308407,0.9872585289584359,1.0476912784123544,1.1104621319259413
2021-02-05,517.0,1.0541260216155588,0.0009734493845230894,0.993337603550014,1.0538194561926484,1.1156803586752617
2021-02-06,362.0,1.0614886409951665,0.0009679916013650223,1.0011669571869808,1.0611846285047255,1.1233326046829322
2021-02-07,378.0,1.0722167142554317,0.0009649126985834364,1.0118670826352814,1.0719154586291657,1.1340814367026324
2021-02-08,394.0,1.086014904835968,0.0009620788687587224,1.0261274279464205,1.0857199563804263,1.1476075551446172
2021-02-09,327.0,1.1052615863606792,0.0009660200458458794,1.0451922930064097,1.1049731697702383,1.1666660098340507
2021-02-10,295.0,1.132154036430006,0.0009726401974768778,1.0720247931908897,1.131866714482391,1.1940568716865243
2021-02-11,366.0,1.1675729434425202,0.0009797930310569518,1.1071404725586478,1.1672915402773387,1.229903841604758
