channel,date,min,max,mean,stDev
1,2020-03-22,0.0,1.0,0.29808165050784985,0.3504936163869891
1,2020-03-23,0.0,1.0,0.5710057460374848,0.2936238968133364
1,2020-03-24,0.0,1.0,0.37087880555015246,0.36264620693254407
1,2020-03-25,0.0,1.0,0.29086680586483316,0.3080262392225042
1,2020-03-26,0.0,1.0,0.6145877735750425,0.31237034626647314
1,2020-03-27,0.0,1.0,0.4401091107879176,0.34229239430688385
1,2020-03-28,0.0,1.0,0.46800262392849074,0.3373119313569152
1,2020-03-29,0.0,0.6276051998138428,0.08214313583448525,0.18378973765177958
1,2020-03-30,NaN,NaN,NaN,NaN
1,2020-03-31,0.0,1.0,0.549118842675605,0.35730923933750086
1,2020-04-01,0.0,1.0,0.5682150270104652,0.33436191606625426
