date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,NO2
4/28/2021,-53,-10,-52,-69,-47,27,5.61749E-05
4/29/2021,-53,-9,-51,-68,-47,27,7.87071E-05
4/30/2021,-50,-2,-49,-67,-44,27,9.85213E-05
5/1/2021,-47,1,-47,-66,-41,22,7.43862E-05
5/2/2021,-49,-2,-46,-64,-22,17,5.08799E-05
5/3/2021,-47,-3,-45,-64,-44,24,1.72241E-05
5/4/2021,-48,-5,-51,-65,-46,25,1.89526E-05
5/5/2021,-49,-5,-49,-65,-45,25,3.59417E-05
5/6/2021,-49,-6,-48,-65,-45,26,2.77952E-05
5/7/2021,-50,-7,-50,-67,-43,27,3.44123E-05
5/8/2021,-44,-1,-44,-62,-26,19,1.8668E-05
5/9/2021,-41,4,-37,-61,-17,15,3.81942E-05
5/10/2021,-46,-5,-45,-64,-43,23,1.52451E-05
5/11/2021,-48,-4,-48,-64,-44,25,5.53808E-05
5/12/2021,-47,-1,-43,-63,-44,24,2.80672E-05
5/13/2021,-49,-5,-48,-71,-63,30,3.63599E-05
5/14/2021,-46,0,-45,-64,-42,26,4.65089E-05
5/15/2021,-40,7,-40,-59,-28,19,3.74794E-05
5/16/2021,-43,3,-39,-58,-17,15,3.72816E-05
5/17/2021,-42,3,-39,-60,-41,22,4.5686E-05
5/19/2021,-44,2,-42,-62,-41,24,4.72635E-05
5/21/2021,-45,0,-41,-64,-39,25,5.64596E-05
5/22/2021,-40,4,-37,-58,-23,18,7.15233E-05
5/23/2021,-43,2,-36,-59,-15,15,3.35881E-05
5/24/2021,-42,1,-35,-60,-39,22,4.15713E-05
5/25/2021,-41,5,-40,-60,-40,23,7.35682E-05
5/26/2021,-43,4,-40,-61,-40,23,0.00010987
5/27/2021,-42,3,-40,-62,-40,23,0.000100359
5/28/2021,-41,4,-40,-63,-38,24,4.65562E-05
5/29/2021,-35,13,-35,-56,-22,17,6.45263E-05
5/30/2021,-39,7,-38,-57,-16,14,7.25332E-05
5/31/2021,-35,11,-34,-58,-38,21,0.000119449
6/1/2021,-38,12,-40,-58,-40,22,0.000105661
6/3/2021,-41,6,-41,-61,-40,24,3.76902E-05
6/4/2021,-41,4,-41,-62,-37,25,3.89448E-05
6/5/2021,-35,11,-36,-56,-21,18,4.22541E-05
6/7/2021,-39,4,-35,-58,-38,21,8.5383E-05
6/10/2021,-39,7,-37,-59,-38,23,9.17556E-05
6/13/2021,-40,5,-35,-58,-15,14,5.5574E-05
6/14/2021,-35,9,-32,-57,-37,20,5.99237E-05
6/15/2021,-34,16,-37,-57,-38,21,4.30931E-05
6/16/2021,-35,16,-35,-58,-39,21,6.19765E-05
6/17/2021,-36,11,-36,-59,-39,21,8.99549E-05
6/18/2021,-37,8,-38,-61,-37,22,8.63674E-05
6/19/2021,-32,13,-31,-55,-22,15,5.11749E-05
6/20/2021,-36,10,-28,-56,-16,12,4.58473E-05
6/22/2021,-38,7,-40,-59,-40,22,6.04998E-05
