channel,date,min,max,mean,stDev
1,2020-08-21,0.0,1.0,0.2329724430945884,0.30596328237784315
1,2020-08-22,0.0,1.0,0.12744211815975928,0.24006172693842984
1,2020-08-23,0.0,1.0,0.16851565693386322,0.2810317023833652
1,2020-08-24,0.0,1.0,0.09112627720503534,0.19213713576913002
1,2020-08-25,0.0,1.0,0.06251675713540328,0.1484401330107971
1,2020-08-26,0.0,1.0,0.08381781926551718,0.18527676724693218
1,2020-08-27,0.0,1.0,0.0446234495917321,0.13511184148339236
1,2020-08-28,0.0,1.0,0.10365189917084744,0.19174241222408023
1,2020-08-29,0.0,0.0,0.0,0.0
1,2020-08-30,0.0,1.0,0.31228500730055486,0.291735091389196
1,2020-08-31,0.0,1.0,0.18135478075946238,0.22741363116947663
1,2020-09-01,0.0,1.0,0.0621342178374995,0.16546578084682495
1,2020-09-02,0.0,1.0,0.0901710157074022,0.20497703762531652
1,2020-09-03,0.0,1.0,0.19229298003771972,0.3231787145859456
1,2020-09-04,0.0,1.0,0.2404405258603943,0.3325371213676335
1,2020-09-05,0.0,1.0,0.2954739557474064,0.32717740367792997
1,2020-09-06,0.0,1.0,0.19978491438141063,0.25813911110397214
1,2020-09-07,0.0,1.0,0.16583260806399971,0.2571762856199723
1,2020-09-08,0.0,1.0,0.10114243321382607,0.22600061017905007
1,2020-09-09,0.0,0.9869785904884338,0.09495624500292246,0.17280475278736276
1,2020-09-10,0.0,1.0,0.29930203066125494,0.34447291963903226
1,2020-09-11,0.0,1.0,0.30130132170749346,0.2896712739653546
1,2020-09-12,NaN,NaN,NaN,NaN
1,2020-09-13,0.0,1.0,0.20762204717260863,0.28852694193061384
1,2020-09-14,0.0,1.0,0.16784797653668726,0.27820827524576763
1,2020-09-15,0.0,0.7105022072792053,0.13659447402299818,0.19873372663612235
1,2020-09-16,NaN,NaN,NaN,NaN
1,2020-09-17,NaN,NaN,NaN,NaN
1,2020-09-18,0.0,1.0,0.21882482344408472,0.30095253873897876
1,2020-09-19,0.0,1.0,0.10372183069686154,0.22295190524343134
1,2020-09-20,0.0,1.0,0.07495167153976061,0.17922762306461143
1,2020-09-21,0.0,1.0,0.3372744297256793,0.32971006637312544
1,2020-09-22,0.0,1.0,0.17753485607781258,0.2695888322511046
1,2020-09-23,0.0,1.0,0.1698416240152551,0.26157907055706886
1,2020-09-24,0.0,1.0,0.448270119608703,0.35460483783258046
1,2020-09-25,0.0,0.07154251635074615,0.03485404642728659,0.03575949711696695
1,2020-09-26,0.0,1.0,0.12432748197702366,0.2162139377811275
1,2020-09-27,0.0,1.0,0.0765553110851036,0.1908700375308415
1,2020-09-28,0.0,1.0,0.12292195995623804,0.24200507024292855
1,2020-09-29,0.0,1.0,0.23051316793761506,0.30020418438599916
1,2020-09-30,0.0,1.0,0.2134374283047842,0.31210644727492076
1,2020-10-01,0.0,1.0,0.10532440093060247,0.18762890993483447
1,2020-10-02,0.0,0.877013087272644,0.2392853053374439,0.19461408319394466
1,2020-10-03,0.0,1.0,0.22953111432064666,0.2812786054656484
1,2020-10-04,0.0,1.0,0.19339214505294322,0.26227980604615186
1,2020-10-05,0.0,1.0,0.16618430071868268,0.2606460075762146
1,2020-10-06,0.0,0.9034203290939331,0.07467258995125604,0.15790122233509224
1,2020-10-07,NaN,NaN,NaN,NaN
1,2020-10-08,NaN,NaN,NaN,NaN
1,2020-10-09,0.0,1.0,0.2771964666586175,0.3280280549012362
1,2020-10-10,0.0,1.0,0.14279005741491713,0.2398683350385675
1,2020-10-11,0.0,0.8871563673019409,0.43121700044660705,0.3060057389678957
1,2020-10-12,NaN,NaN,NaN,NaN
1,2020-10-13,0.0,1.0,0.12963765714186506,0.2055025591492503
1,2020-10-14,NaN,NaN,NaN,NaN
1,2020-10-15,0.0,0.974943995475769,0.12231354766267222,0.1856302533062372
1,2020-10-16,0.0,1.0,0.169064605408543,0.23399374141819138
1,2020-10-17,0.0,1.0,0.07946879816749121,0.197594192342873
